Timepoint,Treatment,Origin,Replicate,sample_date,counting_date,Magnification,Type,sampling_effort_min,Fragilaria,Pediastrum,Staurastrum,Asterionella,Dictyosphaerium,Microcystis,Desmodesmus,Eudorina,Chlorophyceae,Oocystis,Merismopedia,Closterium,Mallomonas,Rhodomonas,Dolichospermum2 ,Rimostrombidium,Coelastrum,Ochromonas,Woroninchinia,Mesodinium,Cyclotella,Acanthoceras,Chlorella,Stephanodiscus,Chroococcus,Dinobryon,Trachelomonas,Aphanizomenon,Tot_ind,Tot_sp,Fragillaria,Pediastrum,Staurastrum,Asterionella,Dictyosphaerium,Microcystis,Desmodesmus,Eudorina,Chlorophyceae,Oocystis,Merismopedia,Closterium,Mallomonas,Rhodomonas,Dolichospermum2 ,Rimostrombidium,Coelastrum,Ochromonas,Woroninchinia,Mesodinium,Cyclotella,Acanthoceras,Chlorella,Stephanodiscus,Chroococcus,Dinobryon,Trachelomonas,Aphanizomenon,Sum
Start,Con,D,2,2022.07.28,2022.08.30,"4x,10x",All,50,10,0,0,0,0,199,10,6,0,0,46,64,0,0,6,0,0,5,0,4,0,0,0,0,0,0,0,0,350,9,0.028571429,0,0,0,0,0.568571429,0.028571429,0.017142857,0,0,0.131428571,0.182857143,0,0,0.017142857,0,0,0.014285714,0,0.011428571,0,0,0,0,0,0,0,0,1
Start,Con,D,3,2022.07.28,2022.09.07,"4x,10x",All,44,8,0,5,0,23,169,26,9,0,0,43,39,0,0,14,0,3,1,0,3,0,0,0,0,0,0,0,0,343,12,0.023323615,0,0.014577259,0,0.067055394,0.49271137,0.075801749,0.026239067,0,0,0.125364431,0.113702624,0,0,0.040816327,0,0.008746356,0.002915452,0,0.008746356,0,0,0,0,0,0,0,0,1
Start,Con,E,4,2022.07.28,2022.09.01,"4x,10x",All,37,6,1,1,0,10,71,30,6,0,4,34,9,0,2,10,0,2,34,0,2,0,0,0,0,0,0,0,0,222,15,0.027027027,0.004504505,0.004504505,0,0.045045045,0.31981982,0.135135135,0.027027027,0,0.018018018,0.153153153,0.040540541,0,0.009009009,0.045045045,0,0.009009009,0.153153153,0,0.009009009,0,0,0,0,0,0,0,0,1
Start,Con,E,5,2022.07.28,2022.08.31,"4x,10x",All,33,7,2,3,0,0,67,22,11,0,0,32,8,0,11,5,0,5,22,0,5,0,0,0,0,3,0,2,0,205,15,0.034146341,0.009756098,0.014634146,0,0,0.326829268,0.107317073,0.053658537,0,0,0.156097561,0.03902439,0,0.053658537,0.024390244,0,0.024390244,0.107317073,0,0.024390244,0,0,0,0,0.014634146,0,0.009756098,0,1
Start,Con,E,6,2022.07.28,2022.09.21,"4x,10x",All,32,12,1,3,0,12,72,46,7,0,3,120,5,0,17,10,0,1,84,0,5,0,0,0,0,0,0,0,0,398,15,0.030150754,0.002512563,0.007537688,0,0.030150754,0.180904523,0.115577889,0.01758794,0,0.007537688,0.301507538,0.012562814,0,0.042713568,0.025125628,0,0.002512563,0.211055276,0,0.012562814,0,0,0,0,0,0,0,0,1
Start,Con,C,7,2022.07.28,2022.09.13,"4x,10x",All,37,13,0,1,0,13,49,2,5,0,1,99,1,0,9,1,0,0,6,0,0,0,2,0,0,0,0,1,0,203,14,0.064039409,0,0.004926108,0,0.064039409,0.24137931,0.009852217,0.024630542,0,0.004926108,0.487684729,0.004926108,0,0.044334975,0.004926108,0,0,0.02955665,0,0,0,0.009852217,0,0,0,0,0.004926108,0,1
Start,Con,C,8,2022.07.28,2022.09.07,"4x,10x",All,22,12,0,2,0,10,18,3,1,0,0,37,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,88,10,0.136363636,0,0.022727273,0,0.113636364,0.204545455,0.034090909,0.011363636,0,0,0.420454545,0,0,0.011363636,0.011363636,0,0,0.034090909,0,0,0,0,0,0,0,0,0,0,1
Start,Con,C,9,2022.07.28,2022.09.13,"4x,10x",All,24,15,0,2,0,2,32,1,0,0,0,93,1,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,153,10,0.098039216,0,0.013071895,0,0.013071895,0.209150327,0.006535948,0,0,0,0.607843137,0.006535948,0,0,0.019607843,0,0,0.013071895,0,0.013071895,0,0,0,0,0,0,0,0,1
End,Add,E,1,2022.08.05,2022.10.07,"4x,10x",All,31,7,7,5,0,171,63,133,4,6,4,55,2,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,469,15,0.014925373,0.014925373,0.010660981,0,0.364605544,0.134328358,0.28358209,0.008528785,0.012793177,0.008528785,0.117270789,0.004264392,0.012793177,0.004264392,0.004264392,0.004264392,0,0,0,0,0,0,0,0,0,0,0,0,1
End,Add,E,2,2022.08.05,2022.10.06,"4x,10x",All,30,1,1,6,0,4,48,42,18,4,1,10,4,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,148,14,0.006756757,0.006756757,0.040540541,0,0.027027027,0.324324324,0.283783784,0.121621622,0.027027027,0.006756757,0.067567568,0.027027027,0,0,0,0.033783784,0.006756757,0.02027027,0,0,0,0,0,0,0,0,0,0,1
End,Add,E,3,2022.08.05,2022.10.05,"4x,10x",All,29,10,8,13,0,313,95,237,0,0,0,35,0,28,0,0,3,16,6,6,6,0,0,0,0,0,0,0,0,776,13,0.012886598,0.010309278,0.016752577,0,0.403350515,0.12242268,0.305412371,0,0,0,0.045103093,0,0.036082474,0,0,0.003865979,0.020618557,0.007731959,0.007731959,0.007731959,0,0,0,0,0,0,0,0,1
End,Add,C,4,2022.08.05,2022.10.07,"4x,10x",All,31,41,1,3,0,13,19,13,19,3,3,5,0,3,19,0,3,0,0,0,11,11,11,0,0,0,0,0,0,178,16,0.230337079,0.005617978,0.016853933,0,0.073033708,0.106741573,0.073033708,0.106741573,0.016853933,0.016853933,0.028089888,0,0.016853933,0.106741573,0,0.016853933,0,0,0,0.061797753,0.061797753,0.061797753,0,0,0,0,0,0,1
End,Add,C,5,2022.08.05,2022.10.07,"4x,10x",All,31,44,0,2,0,27,10,15,13,4,0,19,4,21,10,0,0,0,10,0,29,77,10,0,0,0,0,0,0,295,15,0.149152542,0,0.006779661,0,0.091525424,0.033898305,0.050847458,0.044067797,0.013559322,0,0.06440678,0.013559322,0.071186441,0.033898305,0,0,0,0.033898305,0,0.098305085,0.261016949,0.033898305,0,0,0,0,0,0,1
End,Add,C,6,2022.08.05,2022.10.04,"4x,10x",All,29,30,0,2,0,12,1,17,3,6,0,0,0,9,1,0,0,3,4,0,2,0,1,1,0,0,0,0,0,92,14,0.326086957,0,0.02173913,0,0.130434783,0.010869565,0.184782609,0.032608696,0.065217391,0,0,0,0.097826087,0.010869565,0,0,0.032608696,0.043478261,0,0.02173913,0,0.010869565,0.010869565,0,0,0,0,0,1
End,Add,D,7,2022.08.05,2022.10.04,"4x,10x",All,29,2,1,10,0,130,160,100,15,13,0,4,2,4,0,6,2,19,0,0,6,0,0,0,0,0,0,0,0,474,15,0.004219409,0.002109705,0.021097046,0,0.274261603,0.337552743,0.210970464,0.03164557,0.02742616,0,0.008438819,0.004219409,0.008438819,0,0.012658228,0.004219409,0.040084388,0,0,0.012658228,0,0,0,0,0,0,0,0,1
End,Add,D,8,2022.08.05,2022.10.05,"4x,10x",All,32,3,1,9,0,56,114,82,19,0,0,21,8,0,0,0,0,5,3,5,0,0,0,3,3,0,0,0,0,332,14,0.009036145,0.003012048,0.027108434,0,0.168674699,0.343373494,0.246987952,0.057228916,0,0,0.063253012,0.024096386,0,0,0,0,0.015060241,0.009036145,0.015060241,0,0,0,0.009036145,0.009036145,0,0,0,0,1
End,Add,D,9,2022.08.05,2022.10.06,"4x,10x",All,30,4,1,8,0,127,143,97,1,9,6,18,4,3,0,1,1,3,0,9,4,0,0,0,0,0,0,0,0,439,17,0.009111617,0.002277904,0.018223235,0,0.28929385,0.325740319,0.22095672,0.002277904,0.020501139,0.013667426,0.041002278,0.009111617,0.006833713,0,0.002277904,0.002277904,0.006833713,0,0.020501139,0.009111617,0,0,0,0,0,0,0,0,1
End,Con,D,1,2022.08.05,2022.10.06,"4x,10x",All,30,2,1,7,0,4,73,45,8,8,3,17,4,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,177,14,0.011299435,0.005649718,0.039548023,0,0.02259887,0.412429379,0.254237288,0.04519774,0.04519774,0.016949153,0.096045198,0.02259887,0.005649718,0,0.005649718,0,0,0.016949153,0,0,0,0,0,0,0,0,0,0,1
End,Con,D,2,2022.08.05,2022.10.04,"4x,10x",All,30,3,1,4,0,31,103,111,17,6,0,8,17,2,0,0,6,4,0,0,4,0,0,4,0,0,0,0,0,321,15,0.009345794,0.003115265,0.012461059,0,0.096573209,0.320872274,0.345794393,0.052959502,0.018691589,0,0.024922118,0.052959502,0.00623053,0,0,0.018691589,0.012461059,0,0,0.012461059,0,0,0.012461059,0,0,0,0,0,1
End,Con,D,3,2022.08.05,2022.09.23,"4x,10x",All,30,4,0,4,0,41,110,88,4,0,1,8,13,4,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,282,12,0.014184397,0,0.014184397,0,0.145390071,0.390070922,0.312056738,0.014184397,0,0.003546099,0.028368794,0.046099291,0.014184397,0,0,0,0.003546099,0,0,0.014184397,0,0,0,0,0,0,0,0,1
End,Con,E,4,2022.08.05,2022.10.05,"4x,10x",All,30,3,3,7,0,12,131,211,21,2,2,75,5,9,0,9,5,0,0,7,0,0,0,0,0,0,0,0,0,502,15,0.005976096,0.005976096,0.013944223,0,0.023904382,0.260956175,0.420318725,0.041832669,0.003984064,0.003984064,0.14940239,0.009960159,0.017928287,0,0.017928287,0.009960159,0,0,0.013944223,0,0,0,0,0,0,0,0,0,1
End,Con,E,5,2022.08.05,2022.08.05,"4x,10x",All,29,5,0,1,0,10,0,7,5,0,0,17,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,8,0.094339623,0,0.018867925,0,0.188679245,0,0.132075472,0.094339623,0,0,0.320754717,0.037735849,0.113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
End,Con,E,6,2022.08.05,2022.10.04,"4x,10x",All,29,5,3,12,0,21,45,180,19,7,0,7,4,14,0,0,5,5,20,0,0,0,0,4,0,0,0,0,0,351,15,0.014245014,0.008547009,0.034188034,0,0.05982906,0.128205128,0.512820513,0.054131054,0.01994302,0,0.01994302,0.011396011,0.03988604,0,0,0.014245014,0.014245014,0.056980057,0,0,0,0,0.011396011,0,0,0,0,0,1
End,Con,C,7,2022.08.05,2022.08.05,"4x,10x",All,29,16,0,2,0,0,6,3,7,0,0,0,1,1,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,42,11,0.380952381,0,0.047619048,0,0,0.142857143,0.071428571,0.166666667,0,0,0,0.023809524,0.023809524,0,0,0.023809524,0,0.023809524,0.023809524,0,0,0.071428571,0,0,0,0,0,0,1
End,Con,C,8,2022.08.05,2022.10.03,"4x,10x",All,30,12,0,2,0,0,0,0,4,0,0,6,0,1,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,32,9,0.375,0,0.0625,0,0,0,0,0.125,0,0,0.1875,0,0.03125,0,0,0,0.03125,0.0625,0,0.0625,0,0.0625,0,0,0,0,0,0,1
End,Con,C,9,2022.08.05,2022.09.22,"4x,10x",All,25,41,0,3,0,11,35,5,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,8,0.37962963,0,0.027777778,0,0.101851852,0.324074074,0.046296296,0,0,0,0.101851852,0.009259259,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
