Timepoint,Treatment,Replicate,sample_date,counting_date,Magnification,Type,sampling_effort_min,Origin,Fragilaria,Pediastrum,Staurastrum,Dictyosphaerium,Microcystis,Desmodesmus,Eudorina,Chlorophyceae,Oocystis,Merismopedia,Closterium,Mallomonas,Rhodomonas,Dolichospermum2 ,Rimostrombidium,Coelastrum,Ochromonas,Woroninchinia,Mesodinium,Cyclotella ,Acanthoceras,Chlorella,Stephanodiscus,Chroococcus,Dinobryon,Trachelomonas,Aphanizomenon,Anabaena,Koliella,Cryptomonas,Stauridium,Heliozoa,Paulschulzsia,Ankistrodesmus,Ciliates,Cosmarium,Comasiella,Pteromonas,Chlamydomonas,Tot_ind,Tot_sp,Fragillaria,Pediastrum,Staurastrum,Dictyosphaerium,Microcystis,Desmodesmus,Eudorina,Chlorophyceae,Oocystis,Merismopedia,Closterium,Mallomonas,Rhodomonas,Dolichospermum2 ,Rimostrombidium,Coelastrum,Ochromonas,Woroninchinia,Mesodinium,Cyclotella ,Acanthoceras,Chlorella,Stephanodiscus,Chroococcus,Dinobryon,Trachelomonas,Aphanizomenon,Anabaena,Koliella,Cryptomonas,Stauridium,Heliozoa,Paulschulzsia,Ankistrodesmus,Ciliates,Cosmarium,Comasiella,Pteromonas,Chlamydomonas,suma
Start,Con,6,2022.08.14,2022.10.14,"4x,10x",All,30,C,3,0,1,0,37,8,9,0,5,35,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,105,10,0.028571429,0,0.00952381,0,0.352380952,0.076190476,0.085714286,0,0.047619048,0.333333333,0,0,0,0,0,0,0,0.019047619,0,0,0,0,0,0,0,0,0,0.00952381,0,0,0,0,0,0,0.038095238,0,0,0,0,1
Start,Con,7,2022.08.14,2022.10.12,"4x,10x",All,32,E,0,1,2,5,60,566,22,0,0,5,0,14,0,8,8,19,5,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,797,15,0,0.001254705,0.00250941,0.006273526,0.075282309,0.710163112,0.027603513,0,0,0.006273526,0,0.017565872,0,0.010037641,0.010037641,0.023839398,0.006273526,0.092848181,0.003764115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006273526,0,0,1
Start,Con,8,2022.08.14,2022.10.14,"4x,10x",All,29,C,1,0,1,0,21,6,15,10,10,34,0,0,4,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,114,14,0.00877193,0,0.00877193,0,0.184210526,0.052631579,0.131578947,0.087719298,0.087719298,0.298245614,0,0,0.035087719,0,0.01754386,0,0,0.035087719,0,0,0,0,0,0.01754386,0,0,0,0,0,0.01754386,0.01754386,0,0,0,0,0,0,0,0,1
Start,Con,9,2022.08.14,2022.10.14,"4x,10x",All,31,D,0,1,3,29,29,312,3,0,3,15,23,3,0,0,0,0,0,23,0,0,0,3,0,6,0,0,0,44,15,0,3,0,0,0,0,0,0,0,0,515,16,0,0.001941748,0.005825243,0.05631068,0.05631068,0.605825243,0.005825243,0,0.005825243,0.029126214,0.044660194,0.005825243,0,0,0,0,0,0.044660194,0,0,0,0.005825243,0,0.011650485,0,0,0,0.085436893,0.029126214,0,0.005825243,0,0,0,0,0,0,0,0,1
End,Add,1,2022.08.14,,"4x,10x",All,32,C,5,0,2,0,24,32,3,11,5,1,0,1,0,4,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,5,0,0,0,0,128,15,0.0390625,0,0.015625,0,0.1875,0.25,0.0234375,0.0859375,0.0390625,0.0078125,0,0.0078125,0,0.03125,0,0,0,0.15625,0.0390625,0,0,0,0,0,0,0,0,0,0,0.0546875,0,0.0234375,0,0,0.0390625,0,0,0,0,1
End,Add,2,2022.08.14,,"4x,10x",All,31,D,0,1,4,107,115,138,0,0,27,11,11,15,0,4,0,8,0,61,0,0,0,19,0,0,0,0,0,0,0,12,0,11,11,0,0,0,8,4,4,571,19,0,0.001751313,0.007005254,0.187390543,0.201401051,0.241681261,0,0,0.047285464,0.019264448,0.019264448,0.026269702,0,0.007005254,0,0.014010508,0,0.106830123,0,0,0,0.033274956,0,0,0,0,0,0,0,0.021015762,0,0.019264448,0.019264448,0,0,0,0.014010508,0.007005254,0.007005254,1
End,Add,3,2022.08.14,,"4x,10x",All,33,E,2,10,2,211,68,93,5,14,14,30,0,0,0,3,0,22,3,82,8,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,580,18,0.003448276,0.017241379,0.003448276,0.363793103,0.117241379,0.160344828,0.00862069,0.024137931,0.024137931,0.051724138,0,0,0,0.005172414,0,0.037931034,0.005172414,0.14137931,0.013793103,0,0,0.005172414,0,0,0,0,0,0,0,0,0,0.00862069,0,0,0,0,0.00862069,0,0,1
End,Add,4,2022.08.14,,"4x,10x",All,32,D,0,1,3,91,94,101,21,0,10,10,10,7,0,0,0,3,0,49,24,0,0,0,0,7,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,455,16,0,0.002197802,0.006593407,0.2,0.206593407,0.221978022,0.046153846,0,0.021978022,0.021978022,0.021978022,0.015384615,0,0,0,0.006593407,0,0.107692308,0.052747253,0,0,0,0,0.015384615,0,0,0,0,0,0,0,0.037362637,0.015384615,0,0,0,0,0,0,1
End,Add,5,2022.08.14,,"4x,10x",All,33,E,2,7,1,235,16,66,0,22,11,5,0,5,0,8,0,19,0,30,3,0,0,0,0,0,0,0,0,0,0,19,3,16,0,0,5,0,3,0,0,476,19,0.004201681,0.014705882,0.00210084,0.493697479,0.033613445,0.138655462,0,0.046218487,0.023109244,0.010504202,0,0.010504202,0,0.016806723,0,0.039915966,0,0.06302521,0.006302521,0,0,0,0,0,0,0,0,0,0,0.039915966,0.006302521,0.033613445,0,0,0.010504202,0,0.006302521,0,0,1
End,Add,6,2022.08.14,,"4x,10x",All,31,C,10,1,2,2,66,79,6,15,6,2,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,0,2,0,0,23,0,0,4,0,0,0,0,232,16,0.043103448,0.004310345,0.00862069,0.00862069,0.284482759,0.340517241,0.025862069,0.064655172,0.025862069,0.00862069,0,0,0,0.025862069,0,0,0,0.017241379,0,0,0,0,0,0.017241379,0,0,0,0,0.00862069,0,0,0.099137931,0,0,0.017241379,0,0,0,0,1
End,Add,7,2022.08.14,,"4x,10x",All,32,E,3,10,1,68,75,150,19,23,15,11,4,0,0,0,0,11,11,83,8,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,11,0,0,515,19,0.005825243,0.019417476,0.001941748,0.132038835,0.145631068,0.291262136,0.036893204,0.044660194,0.029126214,0.021359223,0.00776699,0,0,0,0,0.021359223,0.021359223,0.161165049,0.015533981,0,0,0.00776699,0,0,0,0,0,0,0,0.00776699,0,0,0,0.00776699,0,0,0.021359223,0,0,1
End,Add,8,2022.08.14,,"4x,10x",All,30,C,7,1,4,0,50,41,8,8,3,22,0,0,0,11,0,0,0,17,6,8,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,198,16,0.035353535,0.005050505,0.02020202,0,0.252525253,0.207070707,0.04040404,0.04040404,0.015151515,0.111111111,0,0,0,0.055555556,0,0,0,0.085858586,0.03030303,0.04040404,0,0.015151515,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0.03030303,0,0,0,0,1
End,Add,9,2022.08.14,,"4x,10x",All,31,D,0,0,3,88,67,63,0,0,14,7,7,5,0,0,0,2,0,21,5,0,0,5,0,0,0,0,0,0,0,10,0,5,7,2,2,0,0,0,0,313,17,0,0,0.009584665,0.28115016,0.214057508,0.201277955,0,0,0.044728435,0.022364217,0.022364217,0.015974441,0,0,0,0.006389776,0,0.067092652,0.015974441,0,0,0.015974441,0,0,0,0,0,0,0,0.031948882,0,0.015974441,0.022364217,0.006389776,0.006389776,0,0,0,0,1
End,Con,1,2022.08.14,,"4x,10x",All,31,C,2,0,2,0,19,15,14,6,3,0,0,1,0,2,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,72,16,0.027777778,0,0.027777778,0,0.263888889,0.208333333,0.194444444,0.083333333,0.041666667,0,0,0.013888889,0,0.027777778,0,0,0.013888889,0.013888889,0.027777778,0,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0.013888889,0,0.013888889,1
End,Con,2,2022.08.14,,"4x,10x",All,30,D,0,1,7,32,62,210,0,3,8,17,1,4,3,0,0,0,0,39,3,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,406,15,0,0.002463054,0.017241379,0.078817734,0.15270936,0.517241379,0,0.007389163,0.019704433,0.041871921,0.002463054,0.009852217,0.007389163,0,0,0,0,0.096059113,0.007389163,0,0,0,0,0,0,0,0,0,0,0.007389163,0,0.032019704,0,0,0,0,0,0,0,1
End,Con,4,2022.08.14,,"4x,10x",All,30,D,0,1,6,41,56,154,8,0,19,11,2,4,0,0,0,2,0,54,2,0,0,0,0,0,0,0,0,0,2,2,0,11,6,0,2,0,0,0,0,383,18,0,0.002610966,0.015665796,0.107049608,0.146214099,0.402088773,0.020887728,0,0.049608355,0.028720627,0.005221932,0.010443864,0,0,0,0.005221932,0,0.140992167,0.005221932,0,0,0,0,0,0,0,0,0,0.005221932,0.005221932,0,0.028720627,0.015665796,0,0.005221932,0,0,0,0,1
End,Con,5,2022.08.14,,"4x,10x",All,31,E,0,5,1,17,29,51,13,5,17,0,1,1,0,2,0,6,0,70,0,0,0,0,0,0,0,0,0,0,0,1,4,6,0,0,0,0,6,0,0,235,17,0,0.021276596,0.004255319,0.072340426,0.123404255,0.217021277,0.055319149,0.021276596,0.072340426,0,0.004255319,0.004255319,0,0.008510638,0,0.025531915,0,0.29787234,0,0,0,0,0,0,0,0,0,0,0,0.004255319,0.017021277,0.025531915,0,0,0,0,0.025531915,0,0,1
End,Con,6,2022.08.14,,"4x,10x",All,30,C,1,0,2,0,17,24,15,17,11,7,0,3,0,0,0,3,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,116,14,0.00862069,0,0.017241379,0,0.146551724,0.206896552,0.129310345,0.146551724,0.094827586,0.060344828,0,0.025862069,0,0,0,0.025862069,0.060344828,0.034482759,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,1
End,Con,7,2022.08.14,,"4x,10x",All,32,E,0,4,1,36,47,43,6,15,9,3,0,0,0,2,0,6,0,55,3,0,0,0,0,0,0,0,0,0,2,2,0,5,0,2,2,0,5,0,0,248,19,0,0.016129032,0.004032258,0.14516129,0.189516129,0.173387097,0.024193548,0.060483871,0.036290323,0.012096774,0,0,0,0.008064516,0,0.024193548,0,0.221774194,0.012096774,0,0,0,0,0,0,0,0,0,0.008064516,0.008064516,0,0.02016129,0,0.008064516,0.008064516,0,0.02016129,0,0,1
End,Con,8,2022.08.14,,"4x,10x",All,29,C,2,0,2,0,26,19,8,12,6,3,0,2,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,96,16,0.020833333,0,0.020833333,0,0.270833333,0.197916667,0.083333333,0.125,0.0625,0.03125,0,0.020833333,0,0,0,0.010416667,0.010416667,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0.010416667,0.020833333,0.010416667,0,0,0,1
End,Con,9,2022.08.14,,"4x,10x",All,31,D,0,1,8,44,72,434,0,6,17,102,6,0,0,3,0,6,11,88,11,0,0,6,0,0,0,0,0,0,6,14,0,8,0,0,0,0,3,0,0,846,19,0,0.001182033,0.009456265,0.052009456,0.085106383,0.513002364,0,0.007092199,0.020094563,0.120567376,0.007092199,0,0,0.003546099,0,0.007092199,0.013002364,0.104018913,0.013002364,0,0,0.007092199,0,0,0,0,0,0,0.007092199,0.016548463,0,0.009456265,0,0,0,0,0.003546099,0,0,1
